Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Giles Coke,Oldham Athletic,EFL League Two,England,32,183,79
Lachlan Jackson,Newcastle Jets,Hyundai A-League,Australia,23,194,83
Christopher Dilo,Paris FC,Dominos Ligue 2,France,24,189,87
Hassan Al Habib,Ettifaq FC,Saudi Professional League,Saudi Arabia,24,183,81
Wilfrido de la Rosa,Envigado FC,Liga Dimayor,Colombia,25,166,64
Santiago Ruiz,Envigado FC,Liga Dimayor,Colombia,20,185,79
Nelson Lemus,Envigado FC,Liga Dimayor,Colombia,29,183,79
Diego Moreno,Envigado FC,Liga Dimayor,Colombia,22,180,75
Adil Nabi,Dundee FC,Scottish Premiership,England,24,175,70
Dougie Imrie,Hamilton Academical FC,Scottish Premiership,Scotland,35,173,74
Adam Ryczkowski,Górnik Zabrze,Ekstraklasa,Poland,21,178,71
Sofien Moussa,Dundee FC,Scottish Premiership,Tunisia,30,188,80
Tino Casali,SV Mattersburg,Österreichische Fußball-Bundesliga,Austria,22,191,82
Philipp Erhardt,SV Mattersburg,Österreichische Fußball-Bundesliga,Austria,25,185,69
Francisco José Sánchez Rodriguez,SV Mattersburg,Österreichische Fußball-Bundesliga,Spain,28,177,70
Markus Uusitalo,HJK Helsinki,Finnliiga,Finland,21,189,91
Faith Friday Obilor,HJK Helsinki,Finnliiga,Nigeria,27,185,95
Christopher Hamilton,Mansfield Town,EFL League Two,England,23,185,74
Adam Berry,Central Coast Mariners,Hyundai A-League,Australia,21,175,70
Niclas Erlbeck,FC Carl Zeiss Jena,3. Liga,Germany,25,184,79
Firat Sucsuz,FC Carl Zeiss Jena,3. Liga,Turkey,22,172,67
Joe Pigott,AFC Wimbledon,EFL League One,England,24,183,60
Jake Hessenthaler,Grimsby Town,EFL League Two,England,24,176,64
Jordan Cook,Grimsby Town,EFL League Two,England,28,175,80
Hatim Belal Mahmoud,Al Qadisiyah,Saudi Professional League,Saudi Arabia,24,186,74
Kelvin Etuhu,Carlisle United,EFL League Two,Nigeria,30,185,71
Ricky Miller,Port Vale,EFL League Two,England,29,175,76
Joe Davis,Port Vale,EFL League Two,England,24,183,67
Nathan Smith,Port Vale,EFL League Two,England,22,182,72
Kaiyne Woolery,Swindon Town,EFL League Two,England,23,181,78
Jak McCourt,Swindon Town,EFL League Two,England,23,178,68
Josh Payne,Crawley Town,EFL League Two,England,27,183,74
Davud Tuma,Hallescher FC,3. Liga,Germany,22,178,70
James Wallace,Fleetwood Town,EFL League One,England,26,180,83
Alex Nicholls,Crewe Alexandra,EFL League Two,England,30,178,70
Kunimitsu Sekiguchi,Vegalta Sendai,Meiji Yasuda J1 League,Japan,32,171,66
George Ray,Crewe Alexandra,EFL League Two,Wales,24,193,71
Brad Walker,Crewe Alexandra,EFL League Two,England,22,186,80
Eddie Nolan,Crewe Alexandra,EFL League Two,Republic of Ireland,30,185,77
Liam Grimshaw,Motherwell,Scottish Premiership,England,23,180,83
Mark Gillespie,Motherwell,Scottish Premiership,England,26,192,88
Sam Habergham,Lincoln City,EFL League Two,England,26,183,73
Tom Pett,Lincoln City,EFL League Two,England,26,173,70
Ronan Murray,Dundalk,SSE Airtricity League,Republic of Ireland,27,170,70
Marcin Warcholak,Wis?a P?ock,Ekstraklasa,Poland,29,180,79
Patryk Stepinski,Wis?a P?ock,Ekstraklasa,Poland,23,178,62
Peter Wilson,GIF Sundsvall,Allsvenskan,Sweden,21,182,74
Oliver Turton,Blackpool,EFL League One,England,25,180,75
Janik Jesgarzewski,SV Meppen,3. Liga,Germany,24,180,75
Thomas Vollnhofer,SKN St. Pölten,Österreichische Fußball-Bundesliga,Austria,34,179,75
Dinny Corcoran,Bohemian FC,SSE Airtricity League,Republic of Ireland,29,184,82
Aaron Amadi-Holloway,Shrewsbury,EFL League One,Wales,25,188,83
Alex Fisher,Yeovil Town,EFL League Two,England,28,191,80
Diallang Jaiyesimi,Yeovil Town,EFL League Two,England,20,181,72
Ryan Brennan,St. Patrick's Athletic,SSE Airtricity League,Republic of Ireland,26,180,72
Steven Beattie,Cork City,SSE Airtricity League,Republic of Ireland,30,178,70
Garry Buckley,Cork City,SSE Airtricity League,Republic of Ireland,25,185,75
Christer R. Hansen,Sandefjord Fotball,Eliteserien,Norway,25,187,84
Bradley Halliday,Cambridge United,EFL League Two,England,23,180,68
Mhana Al Enazi,Al Batin,Saudi Professional League,Saudi Arabia,34,161,59
Fahad Al Johani,Al Batin,Saudi Professional League,Saudi Arabia,26,176,67
Steven Old,Morecambe,EFL League Two,New Zealand,32,190,85
Liam Shephard,Forest Green Rovers,EFL League Two,Wales,23,178,67
Nigel Atangana,Cheltenham Town,EFL League Two,France,29,187,72
William Boyle,Cheltenham Town,EFL League Two,England,23,191,84
Conor Thomas,Cheltenham Town,EFL League Two,England,24,185,72
Scot Bennett,Newport County,EFL League Two,England,27,178,81
Pádraig Amond,Newport County,EFL League Two,Republic of Ireland,30,181,75
Jonas Rønningen,Kristiansund BK,Eliteserien,Norway,27,181,82
Alex Revell,Stevenage,EFL League Two,England,35,191,78
Jake Kelly,Bray Wanderers,SSE Airtricity League,Republic of Ireland,28,183,73
Roberto Lopes,Shamrock Rovers,SSE Airtricity League,Republic of Ireland,26,186,79
Florian Rüter,KFC Uerdingen 05,3. Liga,Germany,28,180,75
Simone Palombi,Lecce,Calcio B,Italy,22,182,75
Mathias Bringaker,IK Start,Eliteserien,Norway,21,179,73
Tobias Kainz,TSV Hartberg,Österreichische Fußball-Bundesliga,Austria,25,174,70
Cole Stockton,Tranmere Rovers,EFL League Two,England,24,186,75
Martin Harrer,FC Wacker Innsbruck,Österreichische Fußball-Bundesliga,Austria,26,184,76
Danny Rogers,St. Mirren,Scottish Premiership,Republic of Ireland,24,185,77
Nicolás Fernández,Audax Italiano,Campeonato Scotiabank,Chile,19,170,66
Xiaoming Li,Shanghai Greenland Shenhua FC,CSL,China PR,22,183,74
Peng Li,Shanghai Greenland Shenhua FC,CSL,China PR,28,187,80
Alexander Domin Christovao M'Futila,Zag??bie Sosnowiec,Ekstraklasa,Angola,25,186,85
Alexander Nilsson,IF Brommapojkarna,Allsvenskan,Sweden,27,180,76
Sung Min Ha,GyeongNam FC,K LEAGUE Classic,Korea Republic,31,184,78
Seyi Adekoya,Vendsyssel FF,Superliga,United States,22,180,77
Bum Soo Lee,GyeongNam FC,K LEAGUE Classic,Korea Republic,27,190,85
Morten Knudsen,Vendsyssel FF,Superliga,Denmark,23,178,70
Jeppe Illum,Vendsyssel FF,Superliga,Denmark,26,186,75
Wenyi Chi,Beijing Guoan,CSL,China PR,30,183,70
Xingyu Ma,Henan Jianye FC,CSL,China PR,28,181,77
Fei Wang,Henan Jianye FC,CSL,China PR,25,175,62
Xin Xu,Guangzhou Evergrande Taobao,CSL,China PR,24,179,71
Yinong Tian,Jiangsu Suning FC,CSL,China PR,27,181,73
Jaber Asiri,Al Wehda,Saudi Professional League,Saudi Arabia,21,178,69
Abdulelah Al Malki,Al Wehda,Saudi Professional League,Saudi Arabia,23,176,69
Abdullah Al Jadani,Al Wehda,Saudi Professional League,Saudi Arabia,27,180,64
Jiaqi Zhang,Guangzhou R&F FC,CSL,China PR,26,192,75
Takuya Masuda,V-Varen Nagasaki,Meiji Yasuda J1 League,Japan,29,184,84
Hokuto Nakamura,V-Varen Nagasaki,Meiji Yasuda J1 League,Japan,33,167,69
Luis Sotomayor,Deportes Iquique,Campeonato Scotiabank,Chile,21,178,72
Diego Soto,CD Universidad de Concepción,Campeonato Scotiabank,Chile,19,170,70
Salvador Cordero,CD Antofagasta,Campeonato Scotiabank,Chile,22,177,60
Baojie Zhu,Beijing Renhe,CSL,China PR,29,175,65
Felipe Jaramillo,Leones FC,Liga Dimayor,Colombia,22,184,83
Fernando Otárola,Club Deportes Temuco,Campeonato Scotiabank,Argentina,32,181,80
Kaimu Zheng,Guizhou Hengfeng FC,CSL,China PR,26,185,80
Fan Wang,Guizhou Hengfeng FC,CSL,China PR,31,178,74
Andrew Stadler,Dalkurd FF,Allsvenskan,United States,30,179,71
Malkom Moënza,Dalkurd FF,Allsvenskan,Sweden,24,180,75
Abdullah Al Harbi,Al-Hazem FC,Saudi Professional League,Saudi Arabia,29,177,72
Mujahid Al Mania,Al-Hazem FC,Saudi Professional League,Saudi Arabia,22,185,73
Faress Al Aiyaf,Al-Hazem FC,Saudi Professional League,Saudi Arabia,26,167,62
Ali Hissain Khormi,Al-Hazem FC,Saudi Professional League,Saudi Arabia,28,160,58
Mohammed Al Bishi,Al-Hazem FC,Saudi Professional League,Saudi Arabia,31,166,63
Khaled Al Barakah,Al-Hazem FC,Saudi Professional League,Saudi Arabia,27,179,77
Marco Hiller,TSV 1860 München,3. Liga,Germany,21,188,85
Marius Willsch,TSV 1860 München,3. Liga,Germany,27,180,72
Christian Köppel,TSV 1860 München,3. Liga,Germany,23,183,79
Kristian Böhnlein,TSV 1860 München,3. Liga,Germany,28,183,77
Danny Whitaker,Macclesfield Town,EFL League Two,England,37,178,73
Anders Egholm,SønderjyskE,Superliga,Denmark,35,189,86
Paul Keegan,Waterford FC,SSE Airtricity League,Republic of Ireland,34,178,73
Steinar Ryen Strømnes,Stabæk Fotball,Eliteserien,Norway,31,186,75
Björn Ziegenbein,FC Energie Cottbus,3. Liga,Germany,32,174,72
Kenny Browne,Waterford FC,SSE Airtricity League,Republic of Ireland,32,191,86
Zhenli Liu,Shandong Luneng Taishan,CSL,China PR,33,194,74
Scott Davies,Tranmere Rovers,EFL League Two,England,31,183,70
Mikey Drennan,Sligo Rovers,SSE Airtricity League,Republic of Ireland,24,179,81
Rhys Taylor,Macclesfield Town,EFL League Two,Wales,28,185,83
Philip Hellquist,IF Brommapojkarna,Allsvenskan,Sweden,27,184,73
Mario Pacilli,Lecce,Calcio B,Italy,31,173,70
Tom Taiwo,Hamilton Academical FC,Scottish Premiership,England,28,170,70
Di Gao,Shanghai Greenland Shenhua FC,CSL,China PR,28,178,75
Bochao Liao,Tianjin TEDA FC,CSL,China PR,31,180,70
Kevin Scheidhauer,FC Energie Cottbus,3. Liga,Germany,26,190,85
Sander Puri,Waterford FC,SSE Airtricity League,Estonia,30,178,65
Papa Demba Camara,Grenoble Foot 38,Dominos Ligue 2,Senegal,25,195,70
Mitch Hancox,Milton Keynes Dons,EFL League Two,England,24,178,71
Adama Sarr,Paris FC,Dominos Ligue 2,Senegal,27,174,66
Declan Gallagher,Livingston FC,Scottish Premiership,Scotland,27,196,86
Kasper Skaanes,IK Start,Eliteserien,Norway,23,175,61
Samir Ramizi,Neuchâtel Xamax,Raiffeisen Super League,Kosovo,27,182,70
Yuji Takahashi,Sagan Tosu,Meiji Yasuda J1 League,Japan,25,187,78
Tim Söderström,IF Brommapojkarna,Allsvenskan,Sweden,24,188,76
Daniel Carr,Shamrock Rovers,SSE Airtricity League,England,24,180,77
Maxence Derrien,Red Star FC,Dominos Ligue 2,France,25,181,77
Stephen Warmolts,FC Emmen,Eredivisie,Holland,24,175,69
Franco Leys,Colón de Santa Fe,SAF,Argentina,24,177,70
Michele Rocca,Livorno,Calcio B,Italy,22,175,72
Soo Yeong Song,Sangju Sangmu FC,K LEAGUE Classic,Korea Republic,27,175,70
Muzepper Mirahmetjan,Tianjin TEDA FC,CSL,China PR,27,182,72
Songyi Li,Shandong Luneng Taishan,CSL,China PR,25,183,71
Chenglin Zhang,Guangzhou Evergrande Taobao,CSL,China PR,31,183,76
Yun Zhou,Jiangsu Suning FC,CSL,China PR,27,183,75
Xiaotian Yang,Jiangsu Suning FC,CSL,China PR,28,178,72
Haiqing Cao,Jiangsu Suning FC,CSL,China PR,25,174,69
Jiakang Hui,Tianjin TEDA FC,CSL,China PR,29,180,75
Luis López,Los Angeles Football Club,Major League Soccer,Honduras,25,180,86
Dorukhan Toköz,Be?ikta? JK,Süper Lig,Turkey,22,180,75
Steve Kroll,VfL Sportfreunde Lotte,3. Liga,Germany,21,191,87
Calum Dyson,Plymouth Argyle,EFL League One,England,22,187,73
Filippo Perucchini,Ascoli,Calcio B,Italy,27,191,88
Yi Zhang,Shanghai SIPG FC,CSL,China PR,25,181,67
Jiashu Tang,Chongqing Lifan FC,CSL,China PR,28,184,79
JinBao Zhong,Henan Jianye FC,CSL,China PR,23,181,69
Jie Wang,Tianjin Quanjian FC,CSL,China PR,29,185,83
Javairô Dilrosun,Hertha BSC,Bundesliga,Holland,20,175,67
Joel Coustrain,Shamrock Rovers,SSE Airtricity League,Republic of Ireland,22,173,68
Miguel Santana Luna,Neuchâtel Xamax,Raiffeisen Super League,Spain,26,193,89
Maurice Litka,KFC Uerdingen 05,3. Liga,Germany,22,180,68
Agustín Fontana,Club Atlético Banfield,SAF,Argentina,22,176,72
Hao Guo,Tianjin TEDA FC,CSL,China PR,25,173,67
Vinnie Vermeer,NAC Breda,Eredivisie,Holland,23,173,69
Andrea Cistana,Brescia,Calcio B,Italy,21,177,69
Junes Barny,Hammarby IF,Allsvenskan,Sweden,28,177,78
Callum Roberts,Newcastle United,Premier League,England,21,173,65
Óscar Balanta,Boyacá Chicó FC,Liga Dimayor,Colombia,30,187,73
Yuan Cheng,Shandong Luneng Taishan,CSL,China PR,24,183,73
Paudie O'Connor,Blackpool,EFL League One,Republic of Ireland,21,191,77
Andreas Helmersen,Ranheim Fotball,Eliteserien,Norway,20,190,82
Dawood Al Saeed,Al-Hazem FC,Saudi Professional League,Saudi Arabia,27,180,86
Din Sula,Waasland-Beveren,Belgium Pro League,Belgium,20,182,75
Matteo Cortesi,Brescia,Calcio B,Italy,20,180,73
Jack Simpson,Bournemouth,Premier League,England,21,184,83
Brandon Wilson,Perth Glory,Hyundai A-League,Australia,21,185,81
Nico Beyer,FSV Zwickau,3. Liga,Germany,22,189,80
Milo Pantovi?,VfL Bochum 1848,Bundesliga 2,Serbia,22,185,70
Leonel Mosevich,FC St. Gallen,Raiffeisen Super League,Argentina,21,187,81
Se Hun Oh,Ulsan Hyundai Horang-i,K LEAGUE Classic,Korea Republic,19,190,80
Nikolaj Hagelskjær,Esbjerg fB,Superliga,Denmark,28,186,75
Bödvar Bödvarsson,Jagiellonia Bia?ystok,Ekstraklasa,Iceland,23,186,80
Francis Mac Allister,Argentinos Juniors,SAF,Argentina,22,176,71
Hyun Hun Kim,GyeongNam FC,K LEAGUE Classic,Korea Republic,27,185,76
Luke Bolton,Manchester City,Premier League,England,18,174,72
Joaquín Pereyra,Rosario Central,SAF,Argentina,19,181,71
Zakaria Grich,Chamois Niortais Football Club,Dominos Ligue 2,France,22,175,69
Alexis Maldonado,Club Atlético Banfield,SAF,Argentina,21,187,85
Dorian Grange,Olympique Lyonnais,Ligue 1 Conforama,France,22,184,75
Daniel Anyembe,Esbjerg fB,Superliga,Denmark,20,186,80
Alexis Larriere,Football Club de Metz,Dominos Ligue 2,France,21,180,76
Hadier Borja,América de Cali,Liga Dimayor,Colombia,21,170,66
Nahum Gómez,Pachuca,LIGA Bancomer MX,Mexico,20,167,61
F. Hyun Sol Kim,Pohang Steelers,K LEAGUE Classic,Korea Republic,27,174,69
Patryk Klimala,Jagiellonia Bia?ystok,Ekstraklasa,Poland,20,183,76
Ivan Rozas,Universidad de Chile,Campeonato Scotiabank,Chile,20,179,78
Tae Jeong Kuk,Pohang Steelers,K LEAGUE Classic,Korea Republic,23,178,73
Joseph Willock,Arsenal,Premier League,England,19,184,71
Mihai Dobre,Bournemouth,Premier League,Romania,20,178,71
Charlie Owens,Queens Park Rangers,EFL Championship,Northern Ireland,20,174,62
Miguel Ortega,Tigres U.A.N.L.,LIGA Bancomer MX,Mexico,23,193,74
Julien Masson,Valenciennes FC,Dominos Ligue 2,France,20,182,76
Luciano Pizarro,Godoy Cruz,SAF,Argentina,21,186,75
Lachlan Wales,Melbourne City,Hyundai A-League,Australia,20,180,74
Leo Østigård,Brighton & Hove Albion,Premier League,Norway,18,182,80
Hamdan Al Shamrani,Al Faisaly,Saudi Professional League,Saudi Arabia,21,180,80
Felix Geisler,FC Energie Cottbus,3. Liga,Germany,21,168,64
Ross Laidlaw,Hibernian,Scottish Premiership,Scotland,26,201,85
Tom Bayliss,Coventry City,EFL League One,England,19,183,78
Alessandro Bordin,Perugia,Calcio B,Italy,20,176,72
Raúl Damián Torres,Tigres U.A.N.L.,LIGA Bancomer MX,Mexico,22,172,58
Maciej Ambrosiewicz,Górnik Zabrze,Ekstraklasa,Poland,20,184,75
Nicolas Raskin,KAA Gent,Belgium Pro League,Belgium,17,177,73
Luca Matarese,Frosinone,Serie A TIM,Italy,20,175,65
Yunus Akgün,Galatasaray SK,Süper Lig,Turkey,18,172,65
Anthony Fontana,Philadelphia Union,Major League Soccer,United States,18,173,68
Guglielmo Vicario,Venezia,Calcio B,Italy,21,188,76
Tommaso Augello,La Spezia,Calcio B,Italy,24,180,70
Branislav Pindroch,Notts County,EFL League Two,Slovakia,26,194,90
Elvis Bwomono,Southend United,EFL League One,England,19,175,63
Rashad Muhammed,Sarpsborg 08 FF,Eliteserien,France,25,184,82
Nathaniel Phillips,Liverpool,Premier League,England,21,188,70
Oliver Skipp,Tottenham Hotspur,Premier League,England,18,175,70
Paul Smyth,Queens Park Rangers,EFL Championship,Northern Ireland,21,175,67
Michael Lercher,SV Mattersburg,Österreichische Fußball-Bundesliga,Austria,22,177,69
Emmanuele Cicerelli,Foggia,Calcio B,Italy,24,177,60
Diego Hernández Barriuso,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,23,188,81
Julio Gracia Gallardo,Real Betis,LaLiga Santander,Spain,20,170,66
Marko Kolar,Wis?a Kraków,Ekstraklasa,Croatia,23,185,77
Go Hatano,F.C. Tokyo,Meiji Yasuda J1 League,Japan,20,198,88
Rayhaan Tulloch,West Bromwich Albion,EFL Championship,England,17,178,60
Marwin Reuvers,NAC Breda,Eredivisie,Holland,19,183,70
Thijmen Goppel,ADO Den Haag,Eredivisie,Holland,21,178,73
Patric Pfeiffer,Hamburger SV,Bundesliga 2,Germany,19,196,91
Nicholas Pierini,La Spezia,Calcio B,Italy,20,176,70
Abdurrahim Dursun,Trabzonspor,Süper Lig,Turkey,19,177,70
Modibo Sagnan,Racing Club de Lens,Dominos Ligue 2,France,19,187,71
Yann Aurel Bisseck,1. FC Köln,Bundesliga 2,Germany,17,194,83
Lars Kramer,FC Groningen,Eredivisie,Holland,19,192,80
Genís Montolio Lafuente,RCD Espanyol,LaLiga Santander,Spain,22,175,67
Lars Dietz,1. FC Union Berlin,Bundesliga 2,Germany,21,190,79
Se Jin Jeon,Suwon Samsung Bluewings,K LEAGUE Classic,Korea Republic,19,182,70
Laurent Mendy,Royal Antwerp FC,Belgium Pro League,Senegal,19,184,78
Bryan Álvarez,Monarcas Morelia,LIGA Bancomer MX,Mexico,23,174,72
Matvei Igonen,Lillestrøm SK,Eliteserien,Estonia,22,186,78
Usman Mohammed,Sarpsborg 08 FF,Eliteserien,Nigeria,24,183,76
Endre Kupen,FK Bodø/Glimt,Eliteserien,Norway,28,172,71
Sébastien Cibois,Paris Saint-Germain,Ligue 1 Conforama,France,20,192,82
Mason Toye,Minnesota United FC,Major League Soccer,United States,19,191,82
Besim erbe?i?,Rosenborg BK,Eliteserien,Bosnia and Herzegovina,20,194,80
Malte Amundsen,Eintracht Braunschweig,3. Liga,Denmark,20,179,81
Jaylin Lindsey,Sporting Kansas City,Major League Soccer,United States,18,173,76
Abo Eisa,Shrewsbury,EFL League One,England,21,180,75
Curtis Jones,Liverpool,Premier League,England,17,182,68
Artem Dovbyk,FC Midtjylland,Superliga,Ukraine,21,185,76
Nasser Al Omran,Al Shabab,Saudi Professional League,Saudi Arabia,21,170,69
Oliver Petrak,Korona Kielce,Ekstraklasa,Croatia,27,185,83
Brandon Bye,New England Revolution,Major League Soccer,United States,22,183,84
Déiber Caicedo,Deportivo Cali,Liga Dimayor,Colombia,18,166,65
Josha Vagnoman,Hamburger SV,Bundesliga 2,Germany,17,187,86
Kristófer Ingi Kristinsson,Willem II,Eredivisie,Iceland,19,190,71
Tobias Christensen,IK Start,Eliteserien,Norway,18,178,73
Tiago Marques Rezende,Jeju United FC,K LEAGUE Classic,Brazil,30,193,78
Kazuma Yamaguchi,Kashima Antlers,Meiji Yasuda J1 League,Japan,22,175,70
Peter Godly Michael,Vålerenga Fotball,Eliteserien,Nigeria,20,186,83
Jae Ik Lee,Gangwon FC,K LEAGUE Classic,Korea Republic,19,185,76
Min Soo Lee,Gangwon FC,K LEAGUE Classic,Korea Republic,26,179,73
Hyeong Jin Park,Suwon Samsung Bluewings,K LEAGUE Classic,Korea Republic,28,183,75
Rafael Euclides Soares Camacho,Liverpool,Premier League,Portugal,18,175,65
Iván Moreno,Club América,LIGA Bancomer MX,Mexico,20,167,61
Lubomir Tupta,Hellas Verona,Calcio B,Slovakia,20,180,72
Gerald Postma,FC Groningen,Eredivisie,Holland,20,180,75
Alejandro Dos Santos Ferreira,Atlético Madrid,LaLiga Santander,Brazil,19,185,78
Dominik Lanius,SC Preußen Münster,3. Liga,Germany,21,195,85
Niklas Heidemann,SC Preußen Münster,3. Liga,Germany,23,185,80
Manuel Wintzheimer,Hamburger SV,Bundesliga 2,Germany,19,180,77
Majid Hosseini,Trabzonspor,Süper Lig,Iran,22,183,76
Elliott Durrell,Macclesfield Town,EFL League Two,England,29,178,75
Delano Burgzorg,De Graafschap,Eredivisie,Holland,19,186,76
Patrick Choroba,SG Sonnenhof Großaspach,3. Liga,Germany,22,183,75
Luca Meisl,SKN St. Pölten,Österreichische Fußball-Bundesliga,Austria,19,184,80
Philipp Knechtel,FC Energie Cottbus,3. Liga,Germany,22,187,81
Haroon Eisa,Ohod Club,Saudi Professional League,Burkina Faso,25,188,78
Reo Griffiths,Olympique Lyonnais,Ligue 1 Conforama,England,18,180,75
Tobias Mohr,SpVgg Greuther Fuerth,Bundesliga 2,Germany,23,183,78
Urho Nissilä,SV Zulte-Waregem,Belgium Pro League,Finland,22,174,65
Yoann Etienne,KSV Cercle Brugge,Belgium Pro League,France,21,174,70
Antoine Bernier,Royal Antwerp FC,Belgium Pro League,Belgium,21,171,68
Ahmed Mostafa,KAA Gent,Belgium Pro League,Egypt,20,169,63
Nerciwan Khalil Mohammad,KFC Uerdingen 05,3. Liga,Germany,26,175,68
Felix Brügmann,FC Carl Zeiss Jena,3. Liga,Germany,25,185,80
Michael Schüler,FC Carl Zeiss Jena,3. Liga,Germany,21,187,80
Heinz Mörschel,Holstein Kiel,Bundesliga 2,Germany,21,190,81
Aygün Yildirim,VfL Sportfreunde Lotte,3. Liga,Germany,23,180,75
Janik Mäder,FSV Zwickau,3. Liga,Germany,22,178,70
Manolo Rodas,FSV Zwickau,3. Liga,Germany,22,169,65
Batista Mendy,FC Nantes,Ligue 1 Conforama,France,18,191,82
Fahd El Khoumisti,US Orléans Loiret Football,Dominos Ligue 2,France,25,180,75
Toshiya Takagi,Kashiwa Reysol,Meiji Yasuda J1 League,Japan,25,177,70
Adrian Fein,FC Bayern München,Bundesliga,Germany,19,187,81
Emil Riis Jakobsen,Randers FC,Superliga,Denmark,20,190,84
Matias Ferreira,Red Star FC,Dominos Ligue 2,France,21,173,67
Philipp Siegl,TSV Hartberg,Österreichische Fußball-Bundesliga,Austria,24,185,75
Keaghan Jacobs,Livingston FC,Scottish Premiership,South Africa,29,173,69
Clément Vidal,Montpellier Hérault SC,Ligue 1 Conforama,France,18,185,75
Florian Buchacher,FC Wacker Innsbruck,Österreichische Fußball-Bundesliga,Austria,31,184,79
Arton Zekaj,LOSC Lille,Ligue 1 Conforama,Serbia,18,187,83
Gold Omotayo,Bury,EFL League Two,Switzerland,24,193,89
Sydney van Hooijdonk,NAC Breda,Eredivisie,Holland,18,186,80
Kazuki Anzai,Sagan Tosu,Meiji Yasuda J1 League,Japan,24,172,68
Tomá Chorý,Viktoria Plze?,?eská Liga,Czech Republic,23,200,101
Nair Tiknizyan,CSKA Moscow,League of Russia,Russia,19,180,75
Manfred Fischer,SCR Altach,Österreichische Fußball-Bundesliga,Austria,23,179,73
Amadou Ciss,Fortuna Sittard,Eredivisie,Senegal,19,180,70
Maxime Awoudja,FC Bayern München,Bundesliga,Germany,20,188,86
Michal Sadílek,PSV,Eredivisie,Czech Republic,19,169,61
Slimen Kchouk,FC St. Gallen,Raiffeisen Super League,Tunisia,24,182,72
Ahmethan Köse,Fenerbahçe SK,Süper Lig,Turkey,21,182,70
Meris Skenderovic,TSG 1899 Hoffenheim,Bundesliga,Montenegro,20,182,73
Darnell Johnson,Leicester City,Premier League,England,20,185,80
Tyler Reid,Swansea City,EFL Championship,England,21,186,86
Gökay Güney,Galatasaray SK,Süper Lig,Turkey,19,180,72
Jamie Sterry,Newcastle United,Premier League,England,22,180,76
Daniel Barlaser,Newcastle United,Premier League,England,21,184,62
Luca Plogmann,SV Werder Bremen,Bundesliga,Germany,18,188,78
Khetag Khosonov,CSKA Moscow,League of Russia,Russia,20,185,76
Alexandr Makarov,CSKA Moscow,League of Russia,Russia,22,178,73
Stephane Omeonga,Genoa,Serie A TIM,Belgium,22,177,72
Boris Rotenberg,Lokomotiv Moscow,League of Russia,Finland,32,188,84
Julián Chicco,Buenos Aires,SAF,Argentina,20,185,76
Faruk Çakir,Medipol Ba?ak?ehir FK,Süper Lig,Turkey,23,191,80
Roli Pereira de Sa,FC Nantes,Ligue 1 Conforama,France,21,177,71
Brian Landini,AS Saint-Étienne,Ligue 1 Conforama,France,23,180,87
Kenny Rocha Santos,AS Saint-Étienne,Ligue 1 Conforama,Cape Verde Islands,18,174,67
Mattéo Ahlinvi,En Avant de Guingamp,Ligue 1 Conforama,France,19,183,68
Sergi Álamo Bautista,Girona FC,LaLiga Santander,Spain,21,190,80
Juan José Calero,Club León,LIGA Bancomer MX,Colombia,19,185,80
Cristian Torres,Club León,LIGA Bancomer MX,Mexico,22,182,78
Alex Zendejas,Guadalajara,LIGA Bancomer MX,Mexico,20,169,65
Georgios Giannoutsos,AEK Athens,Hellas Liga,Greece,20,181,79
Mohammed Al Baqawi,Al Hilal,Saudi Professional League,Saudi Arabia,23,172,69
Basem Al Baqi,Al Ahli,Saudi Professional League,Saudi Arabia,28,185,89
Victor Arboleda,Portland Timbers,Major League Soccer,Colombia,21,170,65
Fabijan Buntic,FC Ingolstadt 04,Bundesliga 2,Croatia,21,194,86
Carlos Reinaldo Moreira Alves,Rio Ave FC,Liga NOS,Portugal,20,187,80
Bobby Allain,Dijon FCO,Ligue 1 Conforama,France,26,185,77
Bright Gyamfi,Benevento,Calcio B,Ghana,22,178,76
Carlos Villanueva,Club Necaxa,LIGA Bancomer MX,Mexico,24,185,81
Patrick McLain,Chicago Fire Soccer Club,Major League Soccer,United States,30,191,93
Sam Cosgrove,Aberdeen,Scottish Premiership,England,21,188,82
Michel Aebischer,BSC Young Boys,Raiffeisen Super League,Switzerland,21,183,74
Johan Andersson,Djurgårdens IF,Allsvenskan,Sweden,23,176,66
Nathan McGinley,Middlesbrough,EFL Championship,England,22,191,75
Javier Pérez Mateo,R. Valladolid CF,LaLiga Santander,Spain,23,184,74
Arnaud Bodart,Standard de Liège,Belgium Pro League,Belgium,20,184,75
Serge Atakayi,Rangers FC,Scottish Premiership,Finland,19,171,65
Arne Sicker,Holstein Kiel,Bundesliga 2,Germany,21,184,67
Utku Sen,Holstein Kiel,Bundesliga 2,Germany,20,178,83
Cristian Calderón,Club Atlas,LIGA Bancomer MX,Mexico,21,171,66
Chris Odoi-Atsem,D.C. United,Major League Soccer,United States,23,178,68
Emmanuel Besea,Frosinone,Serie A TIM,Ghana,21,183,75
Chiedozie Ogbene,Brentford,EFL Championship,Republic of Ireland,21,175,75
Hamad Al Mansour,Al Nassr,Saudi Professional League,Saudi Arabia,25,178,73
